employee_id,pay_code,amount,hours
RM8000181,TIPS,336.42,
RM8000182,REG,,32.0
RM8000182,COMM,485.52,
RM8000182,TIPS,333.75,
RM8000183,REG,,15.5
RM8000183,COMM,730.56,
RM8000183,TIPS,343.8,
RM8000184,REG,,29.0
RM8000184,COMM,187.9,
RM8000184,TIPS,59.8,
RM8000187,REG,,28.44
RM8000187,COMM,22.2,
RM8000187,TIPS,120.49,
RM8000188,REG,,25.15
RM8000188,COMM,14.6,
RM8000188,TIPS,77.36,
RM8000190,REG,,10.43
RM8000190,COMM,31.2,
RM8000191,REG,,37.05
RM8000191,COMM,9.6,
RM8000191,TIPS,295.87,
RM8000192,COMM,14.6,
RM8000192,TIPS,93.4,
RM8000196,REG,,23.07
RM8000196,COMM,18.2,
RM8000196,TIPS,125.36,
RM8000197,REG,,31.92
RM8000197,COMM,9.6,
RM8000197,TIPS,272.84,
RM8000200,COMM,4.8,
RM8000200,TIPS,261.35,
RM8000202,REG,,9.43
RM8000202,COMM,35.0,
RM8000202,TIPS,35.0,
RM8000203,REG,,36.58
RM8000203,TIPS,115.3,
RM8000204,REG,,23.42
RM8000204,COMM,49.4,
RM8000204,TIPS,37.0,
RM8000205,REG,,37.25
RM8000205,COMM,25.2,
RM8000205,TIPS,564.25,
RM8000208,REG,,6.68
RM8000208,TIPS,33.95,
RM8000209,REG,,35.25
RM8000209,COMM,43.78,
RM8000209,TIPS,179.89,
RM8000215,REG,,21.72
RM8000215,TIPS,4.0,
RM8000219,REG,,15.66
RM8000219,TIPS,65.59,
RM8000221,REG,,28.42
RM8000221,COMM,4.16,
RM8000221,TIPS,142.65,
RM8000222,REG,,23.26
RM8000222,COMM,7.0,
RM8000222,TIPS,81.44,
RM8000224,TIPS,20.9,
RM8000225,TIPS,79.75,
RM8001004,REG,,40.0
RM8001004,COMM,2171.5,
RM8001004,TIPS,997.05,
RM8001011,REG,,32.0
RM8001011,COMM,1064.26,
RM8001011,TIPS,420.0,
RM8001014,REG,,40.0
RM8001014,COMM,4206.85,
RM8001014,TIPS,1609.54,
RM8001017,REG,,40.0
RM8001017,COMM,844.39,
RM8001017,TIPS,480.17,
RM8001021,REG,,29.5
RM8001021,COMM,1353.02,
RM8001021,TIPS,502.6,
RM8001022,REG,,36.0
RM8001022,COMM,2554.76,
RM8001022,TIPS,701.05,
RM8001025,REG,,39.5
RM8001025,COMM,1639.57,
RM8001025,TIPS,740.25,
RM8001026,REG,,34.0
RM8001026,COMM,472.39,
RM8001026,TIPS,195.95,
RM8001030,REG,,26.61
RM8001030,COMM,21.0,
RM8001030,TIPS,16.95,
RM8001031,REG,,17.5
RM8001031,COMM,1823.86,
RM8001031,TIPS,735.2,
RM8001034,REG,,13.0
RM8001034,COMM,227.51,
RM8001034,TIPS,126.55,
RM8001035,REG,,26.0
RM8001035,COMM,2218.33,
RM8001035,TIPS,629.84,
RM8001036,REG,,34.25
RM8001036,COMM,2597.62,
RM8001036,TIPS,1235.66,
RM8001042,REG,,38.5
RM8001042,COMM,1488.8,
RM8001042,TIPS,429.4,
